Date,Prix
2022-02-26,625.0
2022-03-05,660.0
2022-03-12,935.0
2022-03-19,1035.0
2022-03-26,1060.0
2022-04-01,1045.0
2022-04-02,1045.0
2022-04-09,1040.0
2022-04-16,1005.0
2022-04-23,995.0
2022-04-26,995.0
2022-04-29,802.0
2022-04-30,871.0
2022-05-07,815.0
2022-05-13,820.0
2022-05-14,820.0
2022-05-21,757.5
2022-05-28,765.0
2022-06-04,765.0
2022-06-11,745.0
2022-06-18,710.0
2022-06-25,720.0
2022-07-02,735.0
2022-07-09,725.0
2022-07-16,735.0
2022-07-23,745.0
2022-07-30,780.0
2022-08-06,780.0
2022-08-13,805.0
2022-08-20,802.5
2022-08-27,802.5
2022-09-03,897.5
2022-09-10,927.5
2022-09-17,887.5
2022-09-27,902.5
2022-10-01,857.5
2022-10-08,825.0
2022-10-15,827.5
2022-10-22,810.0
2022-10-29,760.0
2022-11-05,700.0
2022-11-12,702.5
2022-11-19,630.0
2022-11-27,630.0
2022-12-02,605.0
2022-12-03,605.0
2022-12-10,605.0
2022-12-17,590.0
2022-12-24,585.0
2022-12-31,585.0
2023-01-07,585.0
2023-01-14,525.0
2023-01-21,475.0
2023-01-28,465.0
2023-02-04,430.0
2023-02-11,412.5
2023-02-18,402.5
2023-02-25,400.0
2023-03-07,400.0
2023-03-11,405.0
2023-03-18,397.5
2023-03-25,385.0
2023-04-01,362.5
2023-04-12,355.0
2023-04-15,355.0
2023-04-21,355.0
2023-04-29,357.5
2023-05-06,360.0
2023-05-13,357.5
2023-05-20,357.5
2023-05-27,345.0
2023-06-03,325.0
2023-06-10,325.0
2023-06-17,302.5
2023-06-24,305.0
2023-07-01,332.5
2023-07-08,342.5
2023-07-18,342.5
2023-07-22,379.0
2023-07-29,412.5
2023-08-05,427.5
2023-08-15,427.5
2023-08-19,440.0
2023-08-26,425.0
2023-09-02,410.0
2023-09-09,425.0
2023-09-16,430.0
2023-09-23,427.5
2023-09-30,422.5
2023-10-07,425.0
2023-10-14,425.0
2023-10-21,425.0
2023-10-28,425.0
2023-11-04,417.5
2023-11-11,415.0
2023-11-18,385.0
2023-11-25,372.5
2023-12-02,345.0
2023-12-05,345.0
2023-12-09,345.0
2023-12-16,345.0
2023-12-23,337.5
2023-12-30,337.5
2024-01-06,337.5
2024-01-10,337.5
2024-01-13,350.0
2024-01-20,350.0
2024-01-27,365.0
2024-02-03,382.5
2024-02-10,385.0
2024-02-17,390.0
2024-02-24,385.0
2024-03-02,385.0
2024-03-05,385.0
2024-03-09,375.0
2024-03-16,367.5
2024-03-23,362.5
2024-03-30,360.0
2024-04-06,347.5
2024-04-13,340.0
2024-04-20,332.5
2024-04-23,332.5
2024-04-27,332.5
2024-05-04,325.0
2024-05-11,315.0
2024-05-18,312.5
2024-05-25,325.0
2024-06-01,332.5
2024-06-08,347.5
2024-06-15,367.5
2024-06-22,362.5
2024-06-29,375.0
2024-07-06,375.0
2024-07-13,372.5
2024-07-20,372.5
2024-07-27,372.5
2024-08-03,365.0
2024-08-10,365.0
2024-08-17,365.0
2024-08-24,360.0
2024-08-31,357.5
2024-09-07,357.5
2024-09-14,357.5
2024-09-21,360.0
2024-09-28,370.0
2024-10-05,372.5
2024-10-12,407.5
2024-10-19,405.0
2024-10-26,392.5
2024-11-02,392.5
2024-11-09,377.5
2024-11-16,377.5
2024-11-23,382.5
2024-11-30,377.5
2024-12-07,382.5
2024-12-14,392.5
2024-12-21,400.0
2024-12-25,400.0
2024-12-28,400.0
2025-01-04,425.0
2025-01-11,445.0
2025-01-18,452.5
2025-01-25,452.5
2025-02-01,452.5
2025-02-08,457.5
2025-02-15,467.5
